citrus fruit,semi-finished bread,margarine,ready soups
tropical fruit,specialty cheese,bottled water,
canned beer,,,
finished products,other vegetables,frozen vegetables,bottled beer
beverages,soda,,
hamburger meat,root vegetables,whole milk,
whole milk,pastry,long life bakery product,
finished products,white wine,shopping bags,
other vegetables,,,
ham,tropical fruit,other vegetables,whole milk
other vegetables,,,
curd,butter milk,cocoa drinks,salty snack
bottled beer,,,
curd,dessert,soda,salty snack
whole milk,cream cheese,cereals,dog food
whole milk,salt,,
dessert,ice cream,,
sausage,soft cheese,coffee,
other vegetables,bottled water,waffles,dishes
ham,whole milk,rolls/buns,
other vegetables,ice cream,,
other vegetables,bottled water,,
soda,bottled beer,white wine,prosecco
herbs,candy,,
frankfurter,ham,tropical fruit,pip fruit
rolls/buns,canned beer,,
curd,cream cheese,semi-finished bread,zwieback
frankfurter,tropical fruit,whole milk,spread cheese
other vegetables,,,
dog food,,,
specialty bar,,,
curd,salt,liquor (appetizer),detergent
frankfurter,rolls/buns,,
soda,,,
beef,berries,root vegetables,whole milk
canned beer,,,
pork,beef,pip fruit,herbs
frankfurter,citrus fruit,UHT-milk,margarine
sausage,bottled beer,liquor (appetizer),
canned beer,,,
specialty chocolate,,,
curd,rolls/buns,,
canned beer,,,
whole milk,bottled water,newspapers,
rolls/buns,chewing gum,,
pork,root vegetables,other vegetables,whole milk
citrus fruit,pastry,,
potted plants,,,
rolls/buns,pastry,soda,
butter,yogurt,bottled water,soda
condensed milk,sugar,coffee,shopping bags
sausage,other vegetables,yogurt,soda
whole milk,beverages,UHT-milk,soda
sausage,pork,beef,whole milk
beverages,,,
beverages,specialty bar,,
bottled water,fruit/vegetable juice,,
newspapers,,,
cleaner,female sanitary products,,
sausage,soda,newspapers,shopping bags
newspapers,,,
sausage,beef,citrus fruit,other vegetables
misc. beverages,newspapers,,
white wine,,,
sausage,sliced cheese,rolls/buns,soda
meat,curd,bottled beer,cake bar
frankfurter,meat,tropical fruit,onions
ice cream,rolls/buns,canned beer,
canned beer,,,
tropical fruit,berries,root vegetables,other vegetables
meat,citrus fruit,other vegetables,curd
whole milk,mustard,bottled water,
sausage,beef,beverages,sliced cheese
frankfurter,sausage,root vegetables,butter
meat,other vegetables,butter,rolls/buns
root vegetables,beverages,Instant food products,pickled vegetables
root vegetables,herbs,other vegetables,whole milk
whole milk,whipped/sour cream,semi-finished bread,margarine
citrus fruit,whole milk,curd,dessert
citrus fruit,curd,pastry,margarine
other vegetables,whole milk,bottled water,soda
citrus fruit,whole milk,rolls/buns,
sausage,oil,hygiene articles,napkins
frankfurter,beef,hamburger meat,grapes
hard cheese,rolls/buns,bottled water,newspapers
cream cheese,rolls/buns,soda,chocolate
turkey,beef,frozen vegetables,dishes
pork,other vegetables,whipped/sour cream,rolls/buns
whole milk,beverages,,
rolls/buns,soda,,
sausage,pip fruit,whole milk,curd
ice cream,,,
liquor,,,
pip fruit,other vegetables,fruit/vegetable juice,
root vegetables,other vegetables,yogurt,
soda,,,
soda,,,
sausage,citrus fruit,tropical fruit,other vegetables
root vegetables,whole milk,pet care,detergent
pork,berries,root vegetables,other vegetables
pork,,,
chocolate,,,
fruit/vegetable juice,,,
pickled vegetables,coffee,,
bottled water,,,
frankfurter,sausage,butter,whipped/sour cream
tropical fruit,pip fruit,onions,other vegetables
canned beer,,,
root vegetables,,,
meat,citrus fruit,berries,root vegetables
frankfurter,rolls/buns,bottled water,fruit/vegetable juice
tropical fruit,margarine,rum,
tropical fruit,root vegetables,herbs,whole milk
citrus fruit,pip fruit,root vegetables,other vegetables
hamburger meat,other vegetables,whole milk,curd
chicken,pip fruit,other vegetables,whole milk
chicken,citrus fruit,tropical fruit,root vegetables
frankfurter,citrus fruit,onions,other vegetables
canned beer,,,
turkey,pip fruit,salad dressing,pastry
packaged fruit/vegetables,whole milk,curd,yogurt
pasta,,,
citrus fruit,tropical fruit,,
sausage,whole milk,yogurt,rolls/buns
whole milk,frozen meals,pastry,fruit/vegetable juice
canned beer,,,
citrus fruit,sugar,sauces,
liquor (appetizer),,,
citrus fruit,other vegetables,rolls/buns,salty snack
sausage,,,
chicken,other vegetables,whole milk,vinegar
hamburger meat,root vegetables,other vegetables,whole milk
sausage,pork,other vegetables,dessert
beef,berries,root vegetables,whole milk
citrus fruit,packaged fruit/vegetables,yogurt,bottled water
UHT-milk,coffee,,
candy,,,
newspapers,,,
beef,citrus fruit,other vegetables,yogurt
sausage,rolls/buns,,
frankfurter,beef,root vegetables,curd
canned beer,,,
bottled beer,,,
onions,soda,chewing gum,chocolate
tropical fruit,packaged fruit/vegetables,cream cheese,white bread
bottled water,white wine,,
beef,white bread,pastry,pasta
sausage,chicken,tropical fruit,root vegetables
hair spray,,,
chicken,whole milk,spices,long life bakery product
pork,citrus fruit,brown bread,pastry
ice cream,,,
meat,hard cheese,bottled beer,
other vegetables,yogurt,brown bread,instant coffee
bottled water,cake bar,,
tropical fruit,soda,salty snack,
photo/film,,,
sausage,citrus fruit,yogurt,coffee
grapes,root vegetables,,
domestic eggs,brown bread,photo/film,
rolls/buns,canned fish,canned beer,
tropical fruit,whole milk,,
chicken,,,
frankfurter,other vegetables,yogurt,brown bread
berries,root vegetables,other vegetables,curd
margarine,hygiene articles,,
tropical fruit,yogurt,rolls/buns,soda
ham,other vegetables,whipped/sour cream,hard cheese
hamburger meat,white bread,salty snack,
yogurt,mayonnaise,rolls/buns,soda
soda,specialty chocolate,,
yogurt,,,
soda,,,
bottled water,,,
sausage,meat,hamburger meat,rubbing alcohol
citrus fruit,pip fruit,beverages,hard cheese
shopping bags,,,
newspapers,,,
frankfurter,other vegetables,whole milk,curd
sausage,citrus fruit,whole milk,canned beer
frankfurter,rolls/buns,,
salt,salty snack,cookware,
oil,,,
curd,beverages,cream cheese,rolls/buns
other vegetables,butter,specialty chocolate,
citrus fruit,,,
frankfurter,whole milk,butter milk,
root vegetables,whole milk,butter,processed cheese
tropical fruit,whole milk,frozen meals,bottled beer
beef,hamburger meat,pip fruit,
berries,whipped/sour cream,cereals,waffles
canned beer,,,
whipped/sour cream,canned beer,red/blush wine,
root vegetables,domestic eggs,margarine,chocolate marshmallow
whole milk,soda,,
beef,,,
frozen vegetables,,,
rolls/buns,bottled beer,,
whole milk,hygiene articles,,
whole milk,,,
citrus fruit,whole milk,curd,soft cheese
pastry,fruit/vegetable juice,,
frankfurter,sausage,pork,pip fruit
tropical fruit,root vegetables,whole milk,whipped/sour cream
frankfurter,sausage,root vegetables,yogurt
berries,root vegetables,other vegetables,packaged fruit/vegetables
rolls/buns,brown bread,pastry,coffee
root vegetables,packaged fruit/vegetables,curd,dessert
yogurt,,,
other vegetables,bottled water,,
berries,white bread,,
berries,coffee,,
other vegetables,butter milk,frozen meals,bottled water
rolls/buns,newspapers,,
ham,citrus fruit,whole milk,whipped/sour cream
whole milk,frozen dessert,salty snack,napkins
tropical fruit,butter milk,rolls/buns,bottled water
bottled water,,,
butter milk,yogurt,,
newspapers,,,
coffee,,,
bottled beer,liquor,,
onions,butter,whipped/sour cream,hard cheese
hamburger meat,hard cheese,frozen meals,pasta
sausage,liver loaf,other vegetables,cream cheese
hard cheese,pastry,napkins,
sausage,tropical fruit,condensed milk,rolls/buns
hamburger meat,,,
onions,whole milk,beverages,frozen dessert
coffee,,,
shopping bags,,,
yogurt,rolls/buns,pastry,bottled water
soda,,,
sliced cheese,,,
sausage,whole milk,coffee,
yogurt,chocolate,,
domestic eggs,rolls/buns,dish cleaner,hygiene articles
whole milk,,,
meat,other vegetables,whole milk,whipped/sour cream
dish cleaner,bathroom cleaner,hygiene articles,napkins
other vegetables,red/blush wine,,
whole milk,butter milk,yogurt,sliced cheese
other vegetables,whole milk,rolls/buns,Instant food products
tropical fruit,other vegetables,,
baking powder,bottled water,salty snack,chewing gum
specialty bar,,,
ice cream,,,
frankfurter,yogurt,,
canned beer,,,
bottled water,,,
other vegetables,whole milk,rolls/buns,margarine
citrus fruit,tropical fruit,onions,other vegetables
sausage,ham,hamburger meat,whole milk
domestic eggs,rolls/buns,specialty bar,napkins
pork,citrus fruit,tropical fruit,root vegetables
specialty cheese,frozen vegetables,coffee,soda
pork,citrus fruit,pip fruit,yogurt
beef,berries,whipped/sour cream,domestic eggs
other vegetables,pet care,,
chicken,yogurt,sliced cheese,rolls/buns
soda,chewing gum,,
whole milk,,,
rolls/buns,,,
bottled beer,,,
root vegetables,pastry,bottled water,male cosmetics
pastry,,,
berries,pet care,cake bar,shopping bags
citrus fruit,tropical fruit,root vegetables,yogurt
whole milk,oil,canned fruit,fruit/vegetable juice
soda,misc. beverages,,
bottled water,soda,,
tropical fruit,other vegetables,rolls/buns,
salty snack,,,
bottled water,canned beer,,
chocolate,,,
citrus fruit,UHT-milk,cream cheese,frozen vegetables
bottled water,canned beer,male cosmetics,
onions,other vegetables,pastry,bottled water
dessert,oil,cat food,soda
beef,other vegetables,whole milk,frozen potato products
rolls/buns,zwieback,bottled water,misc. beverages
beef,tropical fruit,root vegetables,onions
soda,,,
coffee,hygiene articles,,
rolls/buns,brown bread,bottled water,
pork,beef,hamburger meat,other vegetables
soda,canned beer,liquor (appetizer),hygiene articles
sausage,ham,other vegetables,ice cream
beef,root vegetables,other vegetables,rolls/buns
whole milk,butter,bottled water,bottled beer
pork,ice cream,hygiene articles,house keeping products
berries,packaged fruit/vegetables,whole milk,ice cream
sausage,other vegetables,curd,yogurt
bottled water,misc. beverages,cling film/bags,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk
herbs,bottled water,,
yogurt,rolls/buns,,
Instant food products,,,
specialty chocolate,,,
coffee,,,
bottled beer,liquor,,
beef,root vegetables,,
whole milk,honey,waffles,
frankfurter,rolls/buns,pastry,snack products
frankfurter,sausage,liver loaf,root vegetables
other vegetables,whole milk,cream cheese,
frankfurter,root vegetables,pickled vegetables,soda
whole milk,rolls/buns,newspapers,
frankfurter,margarine,dental care,
other vegetables,salty snack,,
bottled water,shopping bags,,
pork,onions,whole milk,butter
bottled water,,,
other vegetables,whipped/sour cream,specialty cheese,domestic eggs
hamburger meat,whole milk,curd,pasta
hamburger meat,citrus fruit,other vegetables,
shopping bags,,,
whole milk,cream cheese,soda,fruit/vegetable juice
ice cream,,,
pastry,bottled water,,
ham,pip fruit,whole milk,curd
frankfurter,soda,,
sausage,turkey,beef,root vegetables
bottled beer,,,
bottled water,bottled beer,napkins,
meat,other vegetables,hard cheese,frozen meals
dessert,candy,,
other vegetables,packaged fruit/vegetables,UHT-milk,bottled water
beverages,rolls/buns,soda,
ham,mustard,canned fish,
specialty bar,,,
brown bread,soda,salty snack,shopping bags
whole milk,cream cheese,coffee,
rolls/buns,pastry,red/blush wine,
bottled beer,nut snack,,
pet care,bottled beer,,
citrus fruit,other vegetables,soda,
pork,other vegetables,frozen vegetables,hygiene articles
other vegetables,shopping bags,,
white wine,detergent,,
whole milk,dessert,bottled water,
pip fruit,white wine,shopping bags,
sugar,soda,bottled beer,
tropical fruit,pip fruit,rolls/buns,coffee
root vegetables,cream cheese,spread cheese,frozen dessert
soda,misc. beverages,,
whole milk,curd,,
tropical fruit,other vegetables,yogurt,bottled water
white bread,brown bread,,
brown bread,sugar,hygiene articles,
tropical fruit,root vegetables,coffee,bottled water
domestic eggs,,,
coffee,detergent,hygiene articles,photo/film
soda,,,
whole milk,,,
bottled beer,,,
pork,beef,berries,packaged fruit/vegetables
other vegetables,yogurt,,
yogurt,bottled water,dishes,
sparkling wine,,,
bottled water,candy,,
citrus fruit,berries,other vegetables,butter milk
hamburger meat,root vegetables,other vegetables,whole milk
packaged fruit/vegetables,seasonal products,,
other vegetables,margarine,,
soda,,,
whole milk,yogurt,frozen potato products,margarine
herbs,yogurt,,
citrus fruit,spread cheese,rolls/buns,soda
misc. beverages,,,
female sanitary products,,,
soda,,,
tropical fruit,whole milk,beverages,white bread
soda,female sanitary products,,
white bread,bottled water,soda,waffles
coffee,chewing gum,chocolate marshmallow,
tropical fruit,root vegetables,whole milk,frozen vegetables
pork,pip fruit,whole milk,butter milk
citrus fruit,bottled water,,
frankfurter,,,
frankfurter,rolls/buns,,
frankfurter,tropical fruit,pip fruit,curd
other vegetables,,,
yogurt,fruit/vegetable juice,newspapers,
sausage,whole milk,yogurt,brown bread
whole milk,,,
pip fruit,whole milk,curd,pastry
whole milk,,,
root vegetables,other vegetables,,
onions,fruit/vegetable juice,,
specialty chocolate,,,
hamburger meat,domestic eggs,,
photo/film,,,
rolls/buns,soda,snack products,newspapers
canned beer,,,
canned beer,,,
other vegetables,curd,frozen meals,frozen potato products
canned beer,,,
curd,whipped/sour cream,rolls/buns,zwieback
butter,fruit/vegetable juice,newspapers,
other vegetables,whole milk,yogurt,domestic eggs
whole milk,,,
beef,tropical fruit,herbs,whole milk
sausage,rolls/buns,,
soda,,,
fruit/vegetable juice,long life bakery product,,
rolls/buns,coffee,long life bakery product,detergent
pip fruit,whole milk,bottled water,candy
frozen vegetables,bottled beer,liquor (appetizer),chewing gum
beverages,,,
hamburger meat,root vegetables,other vegetables,domestic eggs
root vegetables,other vegetables,whole milk,yogurt
canned beer,,,
frozen vegetables,bottled beer,,
canned beer,,,
newspapers,,,
rolls/buns,,,
hamburger meat,UHT-milk,salty snack,
pip fruit,whole milk,curd,rum
canned beer,,,
grapes,root vegetables,frozen vegetables,domestic eggs
root vegetables,packaged fruit/vegetables,butter,whipped/sour cream
citrus fruit,frozen vegetables,rolls/buns,canned beer
cling film/bags,potted plants,,
frankfurter,whole milk,rolls/buns,margarine
whole milk,red/blush wine,,
pork,tropical fruit,whole milk,curd
chicken,pastry,,
sausage,dish cleaner,dishes,
specialty bar,,,
whipped/sour cream,pastry,specialty bar,
root vegetables,brown bread,,
rolls/buns,soda,,
other vegetables,bottled beer,red/blush wine,
citrus fruit,tropical fruit,berries,root vegetables
whole milk,processed cheese,brown bread,pastry
frankfurter,sausage,tropical fruit,root vegetables
coffee,long life bakery product,,
ham,rolls/buns,white wine,
canned beer,,,
canned beer,,,
canned beer,,,
pip fruit,whole milk,canned fish,
pork,pip fruit,other vegetables,whole milk
soap,,,
pip fruit,butter,frozen meals,pasta
beef,hamburger meat,citrus fruit,whole milk
sausage,meat,other vegetables,whole milk
frozen chicken,,,
soda,,,
tropical fruit,curd,yogurt,rolls/buns
other vegetables,,,
beef,citrus fruit,curd,rolls/buns
meat,pork,beef,citrus fruit
meat,hamburger meat,root vegetables,packaged fruit/vegetables
bottled water,soda,red/blush wine,long life bakery product
rolls/buns,,,
pastry,canned beer,,
pork,whole milk,pastry,sauces
pip fruit,sliced cheese,pastry,white wine
beef,citrus fruit,tropical fruit,yogurt
beef,citrus fruit,berries,brown bread
rolls/buns,spices,,
citrus fruit,tropical fruit,herbs,whole milk
meat,beef,herbs,whole milk
beverages,pastry,bottled water,
beef,citrus fruit,other vegetables,rolls/buns
ham,whole milk,white bread,margarine
hamburger meat,whole milk,oil,ketchup
beef,citrus fruit,other vegetables,butter milk
beef,citrus fruit,whole milk,domestic eggs
root vegetables,whole milk,detergent,
citrus fruit,tropical fruit,grapes,other vegetables
yogurt,bottled water,,
tropical fruit,root vegetables,other vegetables,whipped/sour cream
frankfurter,root vegetables,newspapers,
beef,other vegetables,whole milk,brown bread
shopping bags,,,
canned beer,,,
rolls/buns,canned beer,,
other vegetables,rolls/buns,meat spreads,bottled water
hamburger meat,other vegetables,yogurt,rolls/buns
hamburger meat,citrus fruit,root vegetables,rolls/buns
frankfurter,sausage,domestic eggs,soda
bottled beer,,,
tropical fruit,domestic eggs,rolls/buns,pastry
soda,,,
frankfurter,root vegetables,onions,other vegetables
chicken,hamburger meat,herbs,whipped/sour cream
coffee,soda,,
whole milk,,,
margarine,,,
tropical fruit,other vegetables,,
meat,other vegetables,,
cream cheese,bottled water,canned beer,
newspapers,,,
rolls/buns,pastry,newspapers,
citrus fruit,other vegetables,whole milk,curd
whole milk,rolls/buns,detergent,
frankfurter,citrus fruit,butter milk,UHT-milk
ham,other vegetables,butter,whipped/sour cream
frankfurter,citrus fruit,bottled beer,salty snack
sausage,onions,curd,yogurt
domestic eggs,,,
whole milk,domestic eggs,rolls/buns,soda
rolls/buns,bottled beer,newspapers,
whole milk,hard cheese,chocolate marshmallow,
sausage,root vegetables,other vegetables,rolls/buns
curd,butter milk,yogurt,beverages
bottled water,,,
beef,,,
frankfurter,hamburger meat,whole milk,rolls/buns
chicken,butter,newspapers,
sausage,meat,tropical fruit,pip fruit
pork,whole milk,whipped/sour cream,beverages
yogurt,pastry,coffee,
whole milk,sliced cheese,margarine,cat food
frankfurter,ham,whole milk,yogurt
beef,whole milk,brown bread,specialty chocolate
pip fruit,other vegetables,butter milk,cream cheese
sausage,whole milk,rolls/buns,coffee
pastry,coffee,,
chicken,beef,specialty chocolate,
root vegetables,other vegetables,whole milk,sliced cheese
whole milk,frozen meals,rolls/buns,
detergent,,,
rolls/buns,canned fish,,
house keeping products,,,
yogurt,salt,jam,sparkling wine
tropical fruit,curd,sliced cheese,rolls/buns
tropical fruit,,,
curd,UHT-milk,artif. sweetener,dental care
beef,berries,onions,rolls/buns
whole milk,brown bread,pasta,margarine
pork,UHT-milk,bottled water,soda
other vegetables,curd,yogurt,curd cheese
rolls/buns,soda,fruit/vegetable juice,canned beer
frankfurter,pip fruit,whole milk,rolls/buns
yogurt,hygiene articles,newspapers,shopping bags
whole milk,curd,sliced cheese,cat food
bottled water,candy,,
frankfurter,beef,butter,
rolls/buns,soda,snack products,shopping bags
whole milk,pastry,bottled water,hygiene articles
rolls/buns,,,
chicken,onions,other vegetables,whole milk
tropical fruit,onions,whole milk,butter
sausage,turkey,other vegetables,yogurt
sausage,other vegetables,whole milk,curd
frankfurter,citrus fruit,pastry,margarine
UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier
rolls/buns,newspapers,,
canned beer,,,
yogurt,specialty bar,,
whipped/sour cream,specialty bar,,
rolls/buns,canned beer,,
rolls/buns,,,
beverages,rolls/buns,,
rolls/buns,,,
rolls/buns,shopping bags,,
bottled beer,,,
citrus fruit,curd,yogurt,sliced cheese
bottled water,soda,,
pastry,,,
domestic eggs,rolls/buns,pastry,coffee
beef,pip fruit,root vegetables,rolls/buns
spread cheese,rolls/buns,bottled water,newspapers
tropical fruit,spread cheese,rolls/buns,soda
packaged fruit/vegetables,canned beer,candles,
whole milk,yogurt,bottled beer,white wine
meat,beef,other vegetables,whole milk
onions,whole milk,bottled beer,liquor (appetizer)
frankfurter,grapes,other vegetables,butter milk
beef,rolls/buns,bottled beer,
beef,,,
sausage,bottled beer,liquor (appetizer),
chicken,onions,herbs,hygiene articles
canned beer,,,
sausage,root vegetables,other vegetables,whole milk
tropical fruit,whole milk,curd,yogurt
frankfurter,rolls/buns,soda,abrasive cleaner
sausage,tropical fruit,semi-finished bread,
beef,tropical fruit,root vegetables,yogurt
tropical fruit,pastry,flour,rum
yogurt,,,
frankfurter,rolls/buns,mustard,
bottled beer,,,
grapes,soda,,
beverages,rolls/buns,,
curd,bottled beer,potted plants,
ice cream,sugar,flower (seeds),
sausage,rolls/buns,soda,canned beer
other vegetables,,,
dessert,beverages,bottled water,
decalcifier,,,
canned beer,,,
coffee,,,
berries,other vegetables,whole milk,whipped/sour cream
pork,tropical fruit,rolls/buns,semi-finished bread
frankfurter,chicken,pork,citrus fruit
pork,beef,whole milk,domestic eggs
frankfurter,pork,citrus fruit,root vegetables
frozen dessert,brandy,,
chicken,other vegetables,packaged fruit/vegetables,condensed milk
vinegar,oil,,
rolls/buns,soda,specialty bar,
whole milk,,,
pork,root vegetables,whole milk,whipped/sour cream
rolls/buns,newspapers,,
grapes,other vegetables,zwieback,Instant food products
frankfurter,citrus fruit,whipped/sour cream,cream cheese
finished products,root vegetables,packaged fruit/vegetables,yogurt
onions,other vegetables,flour,
tropical fruit,whole milk,rolls/buns,
other vegetables,cream cheese,tea,chocolate
ham,turkey,beef,other vegetables
other vegetables,whole milk,margarine,bottled beer
curd,,,
sausage,beef,other vegetables,
canned beer,liquor (appetizer),chewing gum,
ham,chicken,citrus fruit,berries
packaged fruit/vegetables,whole milk,dessert,yogurt
meat,rolls/buns,soda,specialty bar
whole milk,dessert,,
canned beer,,,
chicken,UHT-milk,rolls/buns,coffee
rolls/buns,red/blush wine,newspapers,
pet care,bottled water,,
root vegetables,other vegetables,soda,shopping bags
pastry,,,
frankfurter,hamburger meat,whole milk,domestic eggs
chicken,grapes,whole milk,whipped/sour cream
frozen dessert,semi-finished bread,,
citrus fruit,tropical fruit,grapes,yogurt
sausage,pork,beef,berries
root vegetables,onions,other vegetables,packaged fruit/vegetables
root vegetables,whole milk,yogurt,rolls/buns
bottled beer,,,
frankfurter,canned beer,,
root vegetables,whole milk,butter,coffee
berries,other vegetables,whipped/sour cream,UHT-milk
hamburger meat,,,
tropical fruit,whole milk,rolls/buns,semi-finished bread
frankfurter,pork,beverages,frozen meals
frankfurter,sausage,frozen fish,margarine
soda,newspapers,,
ice cream,,,
beef,whole milk,frozen vegetables,brown bread
whole milk,pastry,bottled water,newspapers
pork,fish,whole milk,butter
whole milk,chewing gum,,
bottled beer,,,
pork,grapes,UHT-milk,brown bread
root vegetables,potted plants,,
canned beer,,,
citrus fruit,root vegetables,whole milk,butter
pip fruit,herbs,other vegetables,whole milk
root vegetables,dessert,yogurt,cream cheese
tropical fruit,curd,rolls/buns,organic products
beef,root vegetables,other vegetables,whole milk
chicken,pork,whole milk,butter
citrus fruit,grapes,whole milk,rolls/buns
meat,beef,tropical fruit,pip fruit
cream cheese,spread cheese,rolls/buns,
citrus fruit,herbs,whole milk,bottled water
specialty bar,,,
meat,other vegetables,whole milk,beverages
citrus fruit,tropical fruit,pip fruit,
frankfurter,beef,tropical fruit,root vegetables
citrus fruit,whole milk,,
turkey,root vegetables,other vegetables,curd
citrus fruit,onions,whole milk,curd
sausage,domestic eggs,,
newspapers,,,
whole milk,yogurt,,
yogurt,,,
yogurt,,,
bottled water,,,
berries,whole milk,whipped/sour cream,domestic eggs
packaged fruit/vegetables,whole milk,rolls/buns,pastry
frankfurter,soda,,
nuts/prunes,whole milk,semi-finished bread,jam
citrus fruit,other vegetables,packaged fruit/vegetables,whole milk
beef,citrus fruit,root vegetables,onions
whole milk,yogurt,frozen vegetables,coffee
other vegetables,whipped/sour cream,,
beef,other vegetables,,
fish,berries,other vegetables,whole milk
other vegetables,whole milk,curd,frozen vegetables
tropical fruit,berries,root vegetables,whole milk
coffee,,,
sausage,pork,other vegetables,frozen fish
meat,root vegetables,whipped/sour cream,beverages
chicken,tropical fruit,pip fruit,root vegetables
